is_fraudulent,amount_robust,customer_age_robust,card_type_Discover,card_type_MasterCard,card_type_Visa,purchase_category_Groceries,purchase_category_Online Shopping,purchase_category_Restaurant,purchase_category_Retail,purchase_category_Travel
1,0.3554063907271028,0.8076923076923077,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.7987776563645453,0.4230769230769231,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,-0.09487093861210841,-0.7692307692307693,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9537916166907406,-0.5384615384615384,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.3563271992206721,-0.34615384615384615,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,-0.34662314232814356,-0.46153846153846156,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.5475787281382082,0.5384615384615384,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.8300396975163861,0.8461538461538461,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.4028635958559666,0.2692307692307692,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.22013053349589104,0.6538461538461539,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.9185143762708048,0.8461538461538461,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.148463573724947,-0.8461538461538461,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.4602540720088051,-0.6538461538461539,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,-0.3453091130401104,0.8461538461538461,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,-0.2682279574056911,-0.19230769230769232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.6257071552352705,0.34615384615384615,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,-0.24388581184286173,-0.8846153846153846,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,-0.382453658237778,-0.5769230769230769,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,-0.00968232106971864,-0.23076923076923078,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.10250021241826845,-0.038461538461538464,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.4954305372502603,-0.6153846153846154,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,-0.5248489854310706,-0.8076923076923077,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,-0.6384720111761648,0.46153846153846156,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,0.3886286078995884,0.07692307692307693,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,-0.16632844409052375,-0.34615384615384615,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.7619334607184284,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,-0.3348403503814636,0.038461538461538464,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0.5966621680100065,-0.8846153846153846,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.8907142588973616,-0.2692307692307692,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,-0.17914269962871252,0.7692307692307693,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,0.7396423864352657,-0.2692307692307692,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,-0.05842984367991428,-0.8846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,-0.6737433236444256,-0.2692307692307692,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,0.4813951236669519,-0.6538461538461539,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,-0.21403659917364343,-0.34615384615384615,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0.899440203763459,-0.7692307692307693,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,0.7488781351454421,-0.3076923076923077,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5808977685213912,-0.6538461538461539,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,-0.2221440610816139,0.6923076923076923,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.742736777209792,0.6538461538461539,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,-0.6802581425356219,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,-0.25323023966708613,-0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,-0.11767181673934979,-0.07692307692307693,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.6384186596110869,-0.6538461538461539,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.8120483641817351,0.038461538461538464,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,-0.6769918411625107,-0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.8923523495436464,-0.038461538461538464,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,-0.5467962385170635,-0.8846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,-0.9427913143652052,-0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,-0.04284328274155903,-0.038461538461538464,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,-0.44040531381588166,-0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.5847706969492783,-0.4230769230769231,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.0065740984079498644,-0.9615384615384616,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.6626264382692751,0.7692307692307693,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.6628437964973709,-0.9615384615384616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.7102930976906677,0.07692307692307693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.42702197491686034,-0.6153846153846154,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,-0.6001892992568323,-0.2692307692307692,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.2227329042813644,0.11538461538461539,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.010156557203745782,-0.038461538461538464,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,-0.11623922841780979,-0.07692307692307693,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.7059143173864848,0.6923076923076923,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,-0.013126460993089862,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3391282354266248,-0.15384615384615385,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,-0.27759016908494155,0.8846153846153846,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,-0.7658775245664196,0.7307692307692307,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.9059866383969236,-0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.4185529079566944,-0.8461538461538461,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,0.22469308030200952,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.6958664392967868,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.04889769738597091,0.7307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.00047226015013532074,0.15384615384615385,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,-0.5479620690132133,0.8461538461538461,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,-0.006880375911175514,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.9136989035265385,-0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.27145869106875054,0.11538461538461539,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.3067833551020891,-0.3076923076923077,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,-0.36199432102229484,0.15384615384615385,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0.24574126071724267,-0.07692307692307693,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.23221169901022967,-0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.20751585233077188,0.9230769230769231,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.07036281040236962,0.7692307692307693,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,-0.3018157315981559,0.46153846153846156,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.23813965068556753,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.38398899772169065,-0.46153846153846156,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,-0.7222082805580967,0.19230769230769232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.1408165160637611,0.15384615384615385,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,-0.04040491861910333,0.7692307692307693,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,-0.9401849916119482,0.15384615384615385,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,-0.244743388851894,0.9230769230769231,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,-0.4893207950568786,-0.5769230769230769,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.8894575331421898,-0.2692307692307692,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.3835285934749061,0.8846153846153846,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.8214915912005487,0.8076923076923077,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.8065057293652943,-0.5769230769230769,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.27612398903724145,-0.38461538461538464,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.8050948768665637,-0.6153846153846154,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,-0.03514682548307864,0.15384615384615385,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,-0.4213726369702632,0.23076923076923078,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,-0.30248559013746906,-0.2692307692307692,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.5918585511690908,0.9230769230769231,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.4033635197805869,0.6923076923076923,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.8051264926088324,-0.8461538461538461,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.9307081728669748,-0.5769230769230769,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.5677317878504655,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.15453182025660128,0.6153846153846154,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,0.8239279793391125,0.19230769230769232,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.4226609784677036,0.5384615384615384,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.22779142304431935,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.6303605973004108,0.8846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.4834205071560255,0.9230769230769231,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.1368111967151245,-0.7692307692307693,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.7828215864384274,-0.6923076923076923,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,-0.35637067086629104,0.8461538461538461,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.7634194006050462,0.8076923076923077,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,-0.21684249629997002,0.23076923076923078,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.6822894539763711,-0.6538461538461539,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,-0.3401952667281855,0.038461538461538464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.06957044086176625,-0.7692307692307693,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,-0.06179099227983076,-0.6153846153846154,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.8023126915469384,-0.34615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.8945259318246036,0.7307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.4615918131035396,0.4230769230769231,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,-0.8430317916048347,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.20611685573539196,0.34615384615384615,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,-0.5938009433347098,0.11538461538461539,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.5447352873179379,0.07692307692307693,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,0.4301677412725732,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,-0.2570340086587613,0.38461538461538464,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.560159817577167,0.46153846153846156,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,-0.039964274211236626,-0.3076923076923077,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,-0.5342823325304251,0.6153846153846154,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,-0.9691173477553809,0.23076923076923078,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,-0.27206334213963473,-0.8461538461538461,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.25002914576240376,0.4230769230769231,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.13400727557268957,-0.2692307692307692,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.571855666232609,0.6923076923076923,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,0.9133254425709922,-0.9230769230769231,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,-0.018347010435170823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.354973650254803,0.7307692307692307,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.7683257686083342,0.34615384615384615,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,-0.5802279099820777,-0.7307692307692307,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0.6252408230368107,-0.5769230769230769,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.6036452950835544,0.11538461538461539,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,0.8482641969502666,-0.15384615384615385,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.21929074034188484,-0.038461538461538464,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,-0.3915886317694737,-0.8076923076923077,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,-0.8555931212048757,0.7692307692307693,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.7714023755278349,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0.05825398111354604,-0.3076923076923077,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.0200107888720492,-0.9230769230769231,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,-0.48514356510965706,0.34615384615384615,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.23289934140456878,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.4079359465061641,0.15384615384615385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.7080938276191172,-0.5384615384615384,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,-0.38653999292597757,-0.6538461538461539,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,-0.5719722492822237,-0.23076923076923078,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,-0.39063423154974425,0.9230769230769231,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,-0.9182515704131978,0.2692307692307692,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.2960932822475631,-0.038461538461538464,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,-0.14325092821843297,0.23076923076923078,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,-0.24746234268698228,-0.34615384615384615,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.556284913165388,0.2692307692307692,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9850062342291788,-0.8461538461538461,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,-0.09338499872549028,-0.9615384615384616,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,-0.22103553411832577,-0.07692307692307693,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,-0.665268328732584,-0.6153846153846154,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,-0.09840992576228513,-0.34615384615384615,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,-0.35513370495003715,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0.8743096406278096,-0.8461538461538461,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,-0.07510912371042344,-0.07692307692307693,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,-0.5847232733358756,-0.15384615384615385,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.22217567682388253,-0.038461538461538464,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,-0.41302015305971207,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.1825730076648415,-0.5384615384615384,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,-0.3379268372204229,0.5384615384615384,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,-0.941672907482458,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.8716598462289333,0.6923076923076923,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,-0.33055641730408597,0.9230769230769231,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,-0.033342752189884105,0.9230769230769231,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,-0.6953230437265474,0.3076923076923077,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0.666845163878224,0.8076923076923077,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,-0.2348338296346207,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,-0.9248750684184421,-0.23076923076923078,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.11791288677414692,-0.8461538461538461,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,-0.335794750601193,-0.5769230769230769,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,-0.6237746429891102,-0.9615384615384616,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.23508477958887677,-0.19230769230769232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5261511588157534,-0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.2953680961592803,-0.7307692307692307,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,-0.33553787269526164,-0.15384615384615385,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.5181760878285321,0.9230769230769231,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,-0.897404940354926,-0.6923076923076923,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.03497293890060221,0.23076923076923078,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.451622974369513,-0.9615384615384616,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.43363361701875414,0.7692307692307693,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.005299588797752243,0.15384615384615385,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0.854660456807956,0.23076923076923078,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,-0.6989568781035295,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,-0.7732953680961591,0.8461538461538461,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,-0.6526279597768717,-0.2692307692307692,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0.4340090539581921,0.11538461538461539,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,-0.7938120088445038,0.8846153846153846,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,-0.26387486489210127,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,-0.2702632208142239,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,-0.8149352766476247,-0.7307692307692307,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,-0.29692714744989385,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,-0.8377993862594031,0.4230769230769231,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,-0.18443636047478928,-0.07692307692307693,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.8524592107525137,-0.6923076923076923,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.1532592866302953,-0.9615384615384616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,0.5837866569711725,0.8076923076923077,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.395975316009224,-0.6538461538461539,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.10680390533456374,0.6153846153846154,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,-0.7985227544425056,-0.4230769230769231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.5660225617840763,-0.5384615384615384,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,-0.661158282237683,-0.07692307692307693,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.5305576028944213,-0.6923076923076923,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.7396068187252136,0.19230769230769232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.5262618139136929,-0.9615384615384616,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,-0.8635840000632313,-0.038461538461538464,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,0.3741327900694954,-0.11538461538461539,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.9273233124603566,0.8846153846153846,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.29395131570887445,-0.4230769230769231,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.4013065205492445,0.6538461538461539,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,-0.030198961818063242,0.34615384615384615,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,-0.8918879933290782,-0.8461538461538461,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,0.5221952390644111,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.9000962304155297,0.9615384615384616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.9088913347178394,0.15384615384615385,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,-0.7033771540694399,0.3076923076923077,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,-0.3445285994028575,0.4230769230769231,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,-0.21016564672964774,-0.19230769230769232,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.2770289896596764,-0.07692307692307693,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
